Row,logLR,df,p,h
advanced,14.0292052653805,16,0.0311154184563158,1
milestones_cogsci,NaN,8,NaN,0
milestones_psysci,7.44348889953375,10,0.13623709694033,0
enjoy,10.4479315313295,16,0.182548321665817,0
good,4.1295732402416,16,0.94077422628144,0
nonexperts,10.3104523140159,16,0.193546976178034,0
discouraged,9.50901955685356,16,0.267728838313277,0
writers_block,12.0396564407205,16,0.0877864716058919,0
inspired,6.41735481122896,16,0.684802712399914,0
cant_start,5.69989577744275,16,0.784162097232819,0
rejection,5.99582389564489,16,0.744554513514038,0
rcv_fdbk,5.73962846447853,16,0.778982483626599,0
gv_fdbk,11.1409711582356,16,0.134319081807971,0
timeblock,9.02526578612151,16,0.320946251806348,0
conference_submit,7.9334612370555,16,0.462286699956974,0
conference_accept,5.00873567056527,16,0.865714337333522,0
perma_hap,6.53072797364189,16,0.668259103092648,0
hours,13.0721224033313,16,0.0520321072485793,0
